city,company,jobtitle,jobkey,description,url,expired
Portland,Portland General Electric,Analyst II  Corporate Finance,c55c631018b61a19,Financial Operations (25%). Develop dashboards in PGE's financial system to support financial monitoring PGE-wide....,http://www.indeed.com/viewjob?jk=c55c631018b61a19&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvVxMla88Q-PfheIHhIIXF2D&indpubnum=2849821278263879&atk=1btbdhqapafslcus,false
Portland,Hanna Andersson,Corporate - Financial Analyst,b66e340524e61ba2,Financial Forecasting and Analysis Assist in preparation monthly financial forecasts for both the Income Statement and Balance Sheet....,http://www.indeed.com/viewjob?jk=b66e340524e61ba2&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvVxMla88Q-PfheIHhIIXF2D&indpubnum=2849821278263879&atk=1btbdhqapafslcus,false
Portland,Hanna Andersson,Corporate - Financial Reporting Analyst,fd40f229b3db18e2,The Financial Reporting Analysts primary responsibility is reporting accurate financial reports on a timely basis to both internal and external customers....,http://www.indeed.com/viewjob?jk=fd40f229b3db18e2&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvVxMla88Q-PfheIHhIIXF2D&indpubnum=2849821278263879&atk=1btbdhqapafslcus,false
Portland,Oregon Health & Science University,Financial Analyst 1 - Sponsored Projects Financial Analyst,1858c6b6c927f566,The Financial Analyst 1 is the first level of a three level series. Expertise in OHSU financial systems (Oracle| Discoverer| Rubix| Cognos)....,http://www.indeed.com/viewjob?jk=1858c6b6c927f566&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvVxMla88Q-PfheIHhIIXF2D&indpubnum=2849821278263879&atk=1btbdhqapafslcus,false
Portland,Oregon Health & Science University,Financial Analyst 2,24dc47e8a6f403c6,Demonstrated ability to perform financial analysis and forecasting| to develop complex financial models in electronic spreadsheets| and to present financial...,http://www.indeed.com/viewjob?jk=24dc47e8a6f403c6&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvVxMla88Q-PfheIHhIIXF2D&indpubnum=2849821278263879&atk=1btbdhqapafslcus,false
Portland,NIKE INC,Strategic Planning Analyst,ff356ee99d8efb0c,Create financial models and develop action plans to galvanize our teams. Demonstrated ability to complete quantitative and qualitative analysis and financial...,http://www.indeed.com/viewjob?jk=ff356ee99d8efb0c&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvVxMla88Q-PfheIHhIIXF2D&indpubnum=2849821278263879&atk=1btbdhqapafslcus,false
Portland,NIKE INC,Strategic Planning Analyst - Global Strategic Planning,d849631d6823c51d,Demonstrated ability to complete quantitative and qualitative analysis and build financial models. As an Analyst in Global Strategic Planning| you'll assist in...,http://www.indeed.com/viewjob?jk=d849631d6823c51d&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvVxMla88Q-PfheIHhIIXF2D&indpubnum=2849821278263879&atk=1btbdhqapafslcus,false
Portland,adidas,Analyst Global Team Services,aaf0b10851e79306,Reporting| database management| sales analysis| financial analysis| retail analysis| demand planning. Familiarity with SAP is preferred....,http://www.indeed.com/viewjob?jk=aaf0b10851e79306&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvVxMla88Q-PfheIHhIIXF2D&indpubnum=2849821278263879&atk=1btbdhqapafslcus,false
Portland,Gerding Edlen,Financial Analyst,34c5c6e76d12fa4c,Perform complex financial analyses using Excel financial models including multiple financing sources and multi-tiered cash flow waterfalls....,http://www.indeed.com/viewjob?jk=34c5c6e76d12fa4c&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvVxMla88Q-PfheIHhIIXF2D&indpubnum=2849821278263879&atk=1btbdhqapafslcus,false
Portland,Umpqua Bank,Financial Analyst - Portland,6ddb7c778c007c85,6 months - 2 years of relevant financial and/or mathematical data experience applied to budget preparation| financial analysis| and cost control or evaluation....,http://www.indeed.com/viewjob?jk=6ddb7c778c007c85&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvVxMla88Q-PfheIHhIIXF2D&indpubnum=2849821278263879&atk=1btbdhqapafslcus,false
