city,company,jobtitle,jobkey,description,url,expired
Houston,Calpine,IT Database Programmer,86c9e8f808c43a9b,Analysis| design| database development| programmer and implementation of new database applications Write well-designed| testable code....,http://www.indeed.com/viewjob?jk=86c9e8f808c43a9b&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816eo18gt0d5,false
Houston,The University of Texas Health Science Center at Houston (UTHealth),Scientific Programmer I - Neurology,f1f7b3855d462981,Applies technical skills obtained from a concentrated degree program in the biomedical sciences| computer science or engineering in designing and developing...,http://www.indeed.com/viewjob?jk=f1f7b3855d462981&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816eo18gt0d5,false
Houston,Baylor College of Medicine,Programmer / Analyst II,5e4966bab90952f8,A Programmer/Analyst II position is available to work on data modeling and database development. Our research is well-funded by the National Cancer Institute ...,http://www.indeed.com/viewjob?jk=5e4966bab90952f8&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816eo18gt0d5,false
Houston,Six Foot,3D Artist,65df3e2ac4cf5dfa,Computer science/game programmer degree or equivalent work experience--plus passion for game technologies and be a continuous| fast| and eager learner....,http://www.indeed.com/viewjob?jk=65df3e2ac4cf5dfa&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816eo18gt0d5,false
Houston,Harris County,Software Programmer,99c6aac4dc92b6f9,The Software Programmer works directly with end users to develop database and programming requirements for new or existing applications....,http://www.indeed.com/viewjob?jk=99c6aac4dc92b6f9&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816eo18gt0d5,false
Houston,AUTOSOL,Programmer,a0cd7986bd51e3e4,Programmer Jobs Description. Programmer Job Qualifications and Skills. Programmer jobs are available in our Houston| Texas offices as well as our Calgary|...,http://www.indeed.com/viewjob?jk=a0cd7986bd51e3e4&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816eo18gt0d5,false
Houston,Celersoft,.NET Programmer,73835a8440a85288,*Required: * * Familiarity with all phases of the Software Development Life Cycle * 7+ years of programming experience with.NET/Java framework| with the most...,http://www.indeed.com/viewjob?jk=73835a8440a85288&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816eo18gt0d5,false
Houston,SMI,iOS Application Developer,9ad8a7bb81d15fa5,We are looking for a well-rounded programmer who can handle design| development| database and server management as it relates to these apps....,http://www.indeed.com/viewjob?jk=9ad8a7bb81d15fa5&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816eo18gt0d5,false
Stafford,V.J.Electronics Assemblies,SMT Machine Operator and programmer,9e9635a790f87b7d,Need to hire few SMT Machine operator with programmer. $40|000.00 to $50|000.00 /year....,http://www.indeed.com/viewjob?jk=9e9635a790f87b7d&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816eo18gt0d5,false
Houston,HCM TEK Inc ,C++ Developer with PHP or MYSQL NO H-1 NO OPT,3bf89e44834d02c6,Need some one with both skills - C++ Programmer with PHP or MYSQL experience. C++ Developer with PHP or MYSQL (No OPT or NO H-1) CONTRACT to HIRE....,http://www.indeed.com/viewjob?jk=3bf89e44834d02c6&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816eo18gt0d5,false
